Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.
"BACA, Joe","['a Representative from California; born in Belen, Valencia County, \r', 'N.Mex., January 23, 1947; B.A., California State University, Los Angeles, \r', 'Calif., 1971; United States Army, 1966-1968; member of the California state \r', 'assembly, 1992-1999; member of the California state senate, 1999; elected as a \r', 'Democrat to the One Hundred Sixth Congress, by special election, to fill the \r', 'vacancy caused by the death of United States Representative George E. Brown, \r', 'and reelected to the six succeeding Congresses (November 16, 1999-January 3, \r', '2013); unsuccessful candidate for reelection to the One Hundred Thirteenth \r', 'Congress in 2012; unsuccessful candidate for reelection to the One Hundred \r', 'Fourteenth Congress in 2014; unsuccessful candidate for election as Mayor of \r', 'Fontana, Calif., in 2014; unsuccessful candidate for nomination as a Republican \r', 'to the One Hundred Fifteenth Congress in 2016.\r', '</P><BR>\r', '<P><CENTER><FONT SIZE=4 COLOR=""#800040"">Bibliography</FONT></CENTER></P>&#148;Joe Baca&#148; in \r', '<i>Hispanic Americans in Congress, 1822-2012</i>. Prepared under the \r', 'direction of the Committee on House Administration by the Office of the \r', 'Historian and the Office of the Clerk, U.S. House of Representatives. \r', 'Washington: Government Printing Office, 2013.\r']",B001234,1,0,0,0,0,0,0,0,0,0
"BACHMANN, Michele","['a Representative from Minnesota; born in Waterloo, Black Hawk \r', 'County, Iowa, April 6, 1956; graduated from Anoka High School, Anoka, Minn., \r', '1974; B.A., Winona State University, Winona, Minn., 1978; J.D., Coburn School \r', 'of Law, Oral Roberts University, Tulsa, Okla., 1986; L.L.M., College of William \r', 'and Mary, Williamsburg, Va., 1988; lawyer, private practice; attorney, United \r', 'States Department of the Treasury; member of the Minnesota state senate, \r', '2001-2006; elected as a Republican to the One Hundred Tenth and to the three \r', 'succeeding Congresses (January 3, 2007-January 3, 2015); was not a candidate \r', 'for reelection to the One Hundred Fourteenth Congress in 2014.\r']",B001256,1,0,1,0,0,0,0,0,0,0
"BACHUS, Spencer T., III","['a Representative from Alabama; born in Birmingham, Jefferson County, \r', 'Ala., December 28, 1947; B.A., Auburn University, Auburn, Ala., 1969; J.D., \r', 'University of Alabama School of Law, Tuscaloosa, Ala., 1972; National Guard, \r', '1969-1971; lawyer, private practice; member of the Alabama state senate, \r', '1983-1984; member of the Alabama state house of representatives, 1984-1987; \r', 'member, Alabama state board of education, 1987-1991; chairman, Alabama \r', 'Republican executive committee, 1991-1992; elected as a Republican to the One \r', 'Hundred Third and to the ten succeeding Congresses (January 3, 1993-January 3, \r', '2015); chair, Committee on Financial Services (One Hundred Twelfth Congress); \r', 'was not a candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",B000013,1,0,1,0,0,0,0,0,0,0
"BAIRD, Brian","['a Representative from Washington; born in Chama, Rio Arriba County, \r', 'N.Mex., March 7, 1956; B.S., University of Utah, Provo, Utah, 1977; M.S., \r', 'University of Wyoming, Laramie, Wyo., 1980; Ph.D., University of Wyoming, \r', 'Laramie, Wyo., 1984; clinical psychologist; professor, Pacific Lutheran \r', 'University, Tacoma, Wash., 1986-1998; unsuccessful candidate for election to \r', 'the One Hundred Fifth Congress in 1996; elected as a Democrat to the One \r', 'Hundred Sixth Congress and to the five succeeding Congresses (January 3, \r', '1999-January 3, 2011); was not a candidate for reelection to the One Hundred \r', 'Twelfth Congress in 2010. \r']",B001229,0,1,0,1,0,0,1,0,0,0
"BALDWIN, Tammy","['a Senator and a Representative from Wisconsin; born in Madison, Dane \r', 'County, Wis., February 11, 1962; graduated from Madison West High School, \r', 'Madison, Wis., 1980; A.B., Smith College, Northampton, Mass., 1984; J.D., \r', 'University of Wisconsin Law School, Madison, Wis., 1989; lawyer, private \r', 'practice; Dane County, Wis., board of supervisors, 1986-1994; member of the \r', 'Wisconsin state assembly, 1993-1999; elected as a Democrat to the One Hundred \r', 'Sixth and to the six succeeding Congresses (January 3, 1999-January 3, 2013); \r', 'was not a candidate for reelection to the House of Representatives but was \r', 'elected as a Democrat to the United States Senate in 2012 for the term ending \r', 'January 3, 2019; Democratic Conference secretary (2017-).\r']",B001230,1,0,1,0,0,0,0,0,0,0
"BARRETT, James Gresham","['a Representative from South Carolina; born in Westminster, Oconee \r', 'County, S.C., February 14, 1961; graduated from Westminster High School, \r', 'Westminster, S.C., 1979; B.A., The Citadel, Charleston, S.C., 1983; United \r', 'States Army, 1983-1987; business owner; member of the South Carolina state \r', 'house of representatives, 1996-2002; elected as a Republican to the One Hundred \r', 'Eighth and to the three succeeding Congresses (January 3, 2003-January 3, \r', '2011); not a candidate for reelection in 2010, but was an unsuccessful \r', 'candidate for nomination for governor of South Carolina.\r']",B001239,1,0,0,0,0,0,0,0,0,0
"BARROW, John","[' a Representative from Georgia; born in Athens, Clarke County, Ga., \r', 'October 31, 1955; graduated from Clarke Central High School, Athens, Ga., 1973; \r', 'B.A., University of Georgia, Athens, Ga., 1976; J.D., Harvard University, \r', 'Cambridge, Mass., 1979; lawyer, private practice; Athens-Clarke, Georgia, \r', 'city-county commissioner, 1990-2004; elected as a Democrat to the One Hundred \r', 'Ninth and to the four succeeding Congresses (January 3, 2005-January 3, 2015); \r', 'unsuccessful candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",B001252,1,0,1,0,0,0,0,0,0,0
"BARTLETT, Roscoe Gardner","['a Representative from Maryland; born in Moreland, Jefferson County, \r', 'Ky., June 3, 1926; B.S., Columbia Union College, Takoma Park, Md., 1947; M.S., \r', 'University of Maryland, College Park, Md., 1948; Ph.D., University of Maryland, \r', 'College Park, Md., 1952; faculty, University of Maryland, College Park, Md., \r', '1948-1952; faculty, Loma Linda School of Medicine, Loma Linda, Calif., \r', '1952-1954; assistant professor, Howard University Medical School, Washington, \r', 'D.C., 1954-1956; unsuccessful candidate for election to the Ninety-eighth \r', 'Congress in 1982; elected as a Republican to the One Hundred Third and to the \r', 'nine succeeding Congresses (January 3, 1993-January 3, 2013); unsuccessful \r', 'candidate for reelection to the One Hundred Thirteenth Congress in \r', '2012.\r']",B000208,0,1,0,1,0,0,1,0,0,0
"BARTON, Joe Linus","['a Representative from Texas; born in Waco, McLennan County, Tex., \r', 'September 15, 1949; graduated from Waco High School, Waco, Tex., 1968; B.A., \r', 'Texas A&amp;M University, College Station, Tex., 1972; M.S., Purdue University, \r', 'West Lafayette, Ind., 1973; business executive; White House Fellowship, served \r', 'as aide to Secretary of Energy James B. Edwards, 1981-1982; elected as a \r', 'Republican to the Ninety-ninth and to the sixteen succeeding Congresses \r', '(January 3, 1985-present); chair, Committee on Energy and Commerce (One Hundred \r', 'Eighth and One Hundred Ninth Congresses).\r']",B000213,1,0,0,0,0,0,1,0,0,0
"BEAN, Melissa L.","['a Representative from Illinois; born in Chicago, Cook County, Ill., \r', 'January 22, 1962; graduated, Maine East High School, Park Ridge, Ill., 1980; \r', 'A.A., Oakton Community College, Des Plaines, Ill., 1982; B.A., Roosevelt \r', 'University, Chicago, Ill., 2002; consultant; businesswoman; unsuccessful \r', 'candidate for election to the United States House of Representatives in 2002; \r', 'elected as a Democrat to the One Hundred Ninth Congress and to the two \r', 'succeeding Congresses (January 3, 2005-January 3, 2011); unsuccessful candidate \r', 'for re-election to the One Hundred Twelfth Congress in 2010. \r', '</P><BR>\r', '<P><CENTER><FONT SIZE=4 COLOR=""#800040"">Bibliography</FONT></CENTER></P>&#148;Melissa Bean&#148; in \r', '<i>Women in Congress, 1917-2006</i>. Prepared under the direction of \r', 'the Committee on House Administration by the Office of History &amp; \r', 'Preservation, U. S. House of Representatives. Washington: Government Printing \r', 'Office, 2006.\r']",B001253,1,0,0,0,0,0,0,0,0,0
