(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Jim Langevin, D-R.I.","Rhode Island College, B.A. 1990 (political science & public administration)
Harvard U., M.P.A. 1994",,,1,1,1,R.I.,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rick Larsen, D-Wash.","Pacific Lutheran U., B.A. 1987 (political science)
U. of Minnesota, M.P.A. 1990",,,1,1,1,Wash.,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Barbara Lee, D-Calif.","Mills College, B.A. 1973 (psychology)
U. of California, Berkeley, M.S.W. 1975",,,1,1,1,Calif.,1,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Kevin McCarthy, R-Calif.","Bakersfield College, attended 1984-85
California State U., Bakersfield, B.S. 1989 (business administration)
California State U., Bakersfield, M.B.A. 1994",,,1,1,1,Calif.,1,1,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jim McGovern, D-Mass.","American U., B.A. 1981 (history)
American U., M.P.A. 1984",,,1,1,1,Mass.,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Cathy McMorris Rodgers, R-Wash.","Pensacola Christian College, B.A. 1990 (pre-law)
U. of Washington, M.B.A. 2002",,,1,1,1,Wash.,1,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Moolenaar, R-Mich.","Hope College, B.A. 1983 (chemistry)
Harvard U., M.P.P. 1989",,,1,1,1,Mich.,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Seth Moulton, D-Mass.","Harvard U., A.B. 2001 (physics)
Harvard U., M.P.P. 2011
Harvard U., M.B.A. 2011",,,1,1,1,Mass.,1,0,0,0,1,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Richard E. Neal, D-Mass.","American International College, B.A. 1972 (political science)
U. of Hartford, M.P.A. 1976",,,1,1,1,Mass.,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steven M. Palazzo, R-Miss.","U. of Southern Mississippi, B.S.B.A. 1994 (accounting)
U. of Southern Mississippi, M.B.A. 1996",,,1,1,1,Miss.,1,1,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bill Pascrell Jr., D-N.J.","Fordham U., B.A. 1959 (journalism)
Fordham U., M.A. 1961 (philosophy)",,,1,1,1,N.J.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bobby L. Rush, D-Ill.","Roosevelt U., B.A. 1973 (political science)
U. of Illinois, Chicago, attended 1975-77 (political science)
U. of Illinois, Chicago, M.A. 1994 (political science)
McCormick Theological Seminary, M.A. 1998 (theological studies)",,,1,1,1,Ill.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"David Schweikert, R-Ariz.","Scottsdale Community College, A.A. 1985
Arizona State U., B.S. 1987 (real estate)
Arizona State U., M.B.A. 2005",,,1,1,1,Ariz.,1,1,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"David Scott, D-Ga.","Florida A&M U., B.A. 1967 (English & speech)
U. of Pennsylvania, M.B.A. 1969",,,1,1,1,Ga.,1,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Shimkus, R-Ill.","U.S. Military Academy, B.S. 1980
Southern Illinois U., Edwardsville, M.B.A. 1997",,,1,1,1,Ill.,1,1,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Albio Sires, D-N.J.","Saint Peter's College, B.A. 1974 (Spanish & marketing)
Middlebury College, M.A. 1985 (Spanish)",,,1,1,1,N.J.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steve Stivers, R-Ohio","Ohio State U., B.A. 1989 (international studies)
Ohio State U., M.B.A. 1996",,,1,1,1,Ohio,1,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bennie Thompson, D-Miss.","Tougaloo College, B.A. 1968 (political science)
Jackson State College, M.S. 1972 (educational administration)",,,1,1,1,Miss.,1,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mike Thompson, D-Calif.","California State U., Chico, B.A. 1982 (political science)
California State U., Chico, M.A. 1996 (public administration)",,,1,1,1,Calif.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Debbie Wasserman Schultz, D-Fla.","U. of Florida, B.A. 1988 (political science)
U. of Florida, M.A. 1990 (political science)",,,1,1,1,Fla.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Kyrsten Sinema, D-Ariz.","Brigham Young U., B.S.W. 1995
Arizona State U., M.A. 1999 (social work)
Arizona State U., J.D. 2004
Arizona State U., Ph.D. 2012 (justice studies)",,,1,1,0,Ariz.,0,1,1,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,"Tim Murphy, R-Pa.","Wheeling Jesuit University, B.S.
Cleveland State University, M.A.
University of Pittsburgh, Ph.D. (psychology)",,,1,1,0,Pa.,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Dave Brat, R-Va.","Hope College, B.A. 1986 (business administration)
Princeton Theological Seminary, M.Div. 1990
American U., Ph.D. 1995 (economics)",,,1,1,0,Va.,1,0,0,1,0,0,0,0,0,1,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Ileana Ros-Lehtinen, R-Fla.","Miami-Dade Community College, A.A. 1972 (English)
Florida International U., B.A. 1975 (English & education)
Florida International U., M.S. 1986 (education)
U. of Miami, Ph.D. 2004 (education)",,,1,1,0,Fla.,1,0,0,1,0,0,0,1,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Joe L. Barton, R-Texas","Texas A&M U., B.S. 1972 (industrial engineering)
Purdue U., M.S. 1973 (industrial administration)",,,1,1,0,Texas,0,1,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,"Louise Slaughter, D-N.Y.","University of Kentucky, B.S., M.P.H.",,,1,1,0,N.Y.,0,1,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Martha McSally, R-Ariz.","U.S. Air Force Academy, B.S. 1988 (biology)
Harvard U., M.P.P. 1990",,,1,1,0,Ariz.,0,1,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Tim Walz, D-Minn.","Chadron State College, B.S. 1989 (social science education)
Minnesota State U., Mankato, M.S. 2001 (educational leadership)
Saint Mary's U. of Minnesota, attending",,,1,1,0,Minn.,0,1,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Leonard Lance, R-N.J.","Lehigh U., B.A. 1974 (American studies)
Vanderbilt U., J.D. 1977
Princeton U., M.P.A. 1982",,,1,1,0,N.J.,1,0,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Sander M. Levin, D-Mich.","U. of Chicago, A.B. 1952
Columbia U., M.A. 1954 (international relations)
Harvard U., LL.B. 1957",,,1,1,0,Mich.,1,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Tom Rooney, R-Fla.","Syracuse U., attended 1989
Washington & Jefferson College, B.A. 1993 (English literature)
U. of Florida, M.A. 1996 (political science)
U. of Miami, J.D. 1999",,,1,1,0,Fla.,1,0,1,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,"Jim Bridenstine, R-Okla.","Rice University, B.A.
Cornell University, M.B.A.",,,1,1,0,Okla.,1,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,"Bill Shuster, R-Pa.","Dickinson College, B.A. 1983 (political science & history)
American U., M.B.A. 1987",,,1,1,0,Pa.,1,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,"Charlie Dent, R-Pa.","Pennsylvania State University, B.A.
Lehigh University, M.P.A.",,,1,1,0,Pa.,1,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Rod Blum, R-Iowa","Loras College, B.A. 1977 (business administration and finance)
Dubuque U., M.B.A. 1989",,,1,1,0,Iowa,1,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Carlos Curbelo, R-Fla.","U. of Miami, B.B.A. 2002 (political science)
U. of Miami, M.P.A. 2011",,,1,1,0,Fla.,1,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Ryan Zinke,"University of Oregon, B.S. (geology)
National University, M.B.A.
University of San Diego, M.S. (global leadership)",,,1,1,0,,1,1,0,0,1,0,0,1,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,Tom Price,"University of Michigan, B.A., M.D.",,,1,1,0,,1,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Sam Johnson, R-Texas","Southern Methodist U., B.B.A. 1951
George Washington U., M.S.I.A. 1974 (international affairs)",,,1,1,0,Texas,1,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Steve Pearce, R-N.M.","New Mexico State U., B.B.A. 1970 (economics)
Eastern New Mexico U., M.B.A. 1991",,,1,1,0,N.M.,1,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Dana Rohrabacher, R-Calif.","Los Angeles Harbor College, attended 1965-67
California State U., Long Beach, B.A. 1969 (history)
U. of Southern California, M.A. 1971 (American studies)",,,1,1,0,Calif.,1,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Mark Sanford, R-S.C.","Furman U., B.A. 1983 (business administration & economics)
U. of Virginia, M.B.A. 1988",,,1,1,0,S.C.,1,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Markwayne Mullin, R-Okla.","Missouri Valley College, attended 1996
Oklahoma State U. Institute of Technology, A.A.S. 2010 (construction technology)",,,1,1,1,Okla.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Yvette D. Clarke, D-N.Y.","Oberlin College, attended 1982-86 (Black studies)",,,1,1,1,N.Y.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"José E. Serrano, D-N.Y.","Lehman College, attended 1979-80",,,1,1,1,N.Y.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mike Bost, R-Ill.","Murphysboro H.S., graduated 1979",,,1,1,1,Ill.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mario Diaz-Balart, R-Fla.","U. of South Florida, attended 1979-82",,,1,1,1,Fla.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bob Gibbs, R-Ohio","Ohio State U., A.A.S. 1974 (animal husbandry)",,,1,1,1,Ohio,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Garret Graves, R-La.","Alabama U., attended 1990-91
Louisiana Tech U., attended 1993-95
American U., attended 1996",,,1,1,1,La.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steve King, R-Iowa","Northwest Missouri State U., attended 1967-70",,,1,1,1,Iowa,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Billy Long, R-Mo.","U. of Missouri, attended 1973-74",,,1,1,1,Mo.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mark Meadows, R-N.C.","U. of South Florida, A.A. 1980",,,1,1,1,N.C.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Grace F. Napolitano, D-Calif.","Cerritos College, attended 
Texas Southmost College, attended",,,1,1,1,Calif.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Donald Norcross, D-N.J.","Camden Community College, A.S. 1979 (criminal justice)",,,1,1,1,N.J.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Donald M. Payne Jr., D-N.J.","Kean College, attended 1976-78",,,1,1,1,N.J.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bill Posey, R-Fla.","Brevard Junior College, A.A. 1969",,,1,1,1,Fla.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Martha Roby, R-Ala.","New York U., B.M. 1998 (music, business and technology)
Samford U., J.D. 2001",,,1,1,1,Ala.,0,0,1,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"C.A. Dutch Ruppersberger, D-Md.","U. of Maryland, attended 1963-67
U. of Baltimore, J.D. 1970",,,1,1,1,Md.,0,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Daniel Webster, R-Fla.","Georgia Institute of Technology, B.E.E. 1971",1,1,1,1,1,Fla.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Anna G. Eshoo, D-Calif.","Canada College, A.A. 1975 (English literature)",,,1,1,1,Calif.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Al Green, D-Texas","Florida A&M U., attended 1966-71
Texas Southern U., J.D. 1973
Tuskegee Institute of Technology,  B.A.",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Thomas Massie, R-Ky.","Massachusetts Institute of Technology, S.B. 1993 (electrical science and engineering)
Massachusetts Institute of Technology, S.M. 1996 (mechanical engineering)",,,1,1,1,Ky.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Frank D. Lucas, R-Okla.","Oklahoma State U., B.S. 1982 (agricultural economics)",,,1,1,1,Okla.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mike Doyle, D-Pa.","Pennsylvania State U., B.S. 1975 (community development)",,,1,1,1,Pa.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Scott Perry, R-Pa.","Pennsylvania State U., Harrisburg, B.S. 1991 (management)",,,1,1,1,Pa.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Glenn ""GT"" Thompson, R-Pa.","Pennsylvania State U., B.S. 1981 (recreation & parks)
Temple U., M.Ed. 1998 (sports management & leisure studies)",,,1,1,1,Pa.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Paul Tonko, D-N.Y.","Clarkson U., B.S. 1971 (mechanical and industrial engineering)",,,1,1,1,N.Y.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Pete Aguilar, D-Calif.","U. of Redlands, B.S. 2001 (government & political science)",,,1,1,1,Calif.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rick W. Allen, R-Ga.","Auburn U., B.S. 1973 (building construction)",,,1,1,1,Ga.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Brian Babin, R-Texas","U. of Texas, attended 1967-69
Lamar U., B.S. 1973 (biology)
U. of Texas, D.D.S. 1976",,,1,1,1,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Karen Bass, D-Calif.","San Diego State U., attended 1971-73 (philosophy)
California State U., Dominguez Hills, B.S. 1990 (health sciences)",,,1,1,1,Calif.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Kevin Brady, R-Texas","U. of South Dakota, B.S. 1990 (mass communication)",,,1,1,1,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tony Cárdenas, D-Calif.","U. of California, Santa Barbara, B.S. 1986 (electrical engineering)",,,1,1,1,Calif.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Earl L. ""Buddy"" Carter, R-Ga.","Young Harris College, A.S. 1977
U. of Georgia, B.S. 1980 (pharmacy)",,,1,1,1,Ga.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"William Lacy Clay, D-Mo.","U. of Maryland, B.S. 1983 (government & politics)",,,1,1,1,Mo.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rick Crawford, R-Ark.","Southwest Missouri State U., attended 1991-93
Arkansas State U., B.S. 1996 (agriculture business economics)",,,1,1,1,Ark.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Marcia L. Fudge, D-Ohio","Ohio State U., B.S. 1975 (business administration)
Cleveland State U., J.D. 1983",,,1,1,1,Ohio,0,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Paul Gosar, R-Ariz.","Creighton U., B.S. 1981 (biology)
Creighton U., D.D.S. 1985",,,1,1,1,Ariz.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Kay Granger, R-Texas","Texas Wesleyan U., B.S. 1965",,,1,1,1,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Sam Graves, R-Mo.","U. of Missouri, B.S. 1986 (agronomy)",,,1,1,1,Mo.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"French Hill, R-Ark.","Vanderbilt U., B.S. 1979 (economics)",,,1,1,1,Ark.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steny H. Hoyer, D-Md.","U. of Maryland, B.S. 1963 (political science)
Georgetown U., J.D. 1966",,,1,1,1,Md.,0,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Duncan Hunter, R-Calif.","San Diego State U., B.S. 2001 (business administration)",,,1,1,1,Calif.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Will Hurd, R-Texas","Texas A&M U., B.S. 2000 (computer science)",,,1,1,1,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"David Joyce, R-Ohio","U. of Dayton, B.S. 1979 (accounting)
U. of Dayton, J.D. 1982",,,1,1,1,Ohio,0,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Joseph P. Kennedy III, D-Mass.","Stanford U., B.S. 2003 (management science and engineering)
Harvard U., J.D. 2009",,,1,1,1,Mass.,0,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Dan Kildee, D-Mich.","U. of Michigan, Flint, attended 1976-82
Central Michigan U., B.S. 2011 (community development & public administration)",,,1,1,1,Mich.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Doug LaMalfa, R-Calif.","Butte College, A.A. 1980 (agricultural business)
California Polytechnic State U., B.S. 1982 (agricultural management)",,,1,1,1,Calif.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
