(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Juan C. Vargas, D-Calif.","U. of San Diego, B.A. 1983 (political science)
Fordham U., M.A. 1987 (philosophy)
Harvard U., J.D. 1991",,,1,1,1,Calif.,1,0,1,0,0,0,1,0,0,0,0,,,1,1,0,0,1,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Alma Adams, D-N.C.","North Carolina A&T U., B.S. 1969 (art education)
North Carolina A&T U., M.S. 1972 (art education)
Ohio State U., Ph.D. 1981 (art education)",,,1,1,1,N.C.,0,1,0,1,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Daniel Lipinski, D-Ill.","Northwestern U., B.S. 1988 (mechanical engineering)
Stanford U., M.S. 1989 (engineering-economic systems)
Duke U., Ph.D. 1998 (political science)",,,1,1,1,Ill.,0,1,0,1,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Dave Loebsack, D-Iowa","Iowa State U., B.S. 1974 (political science)
Iowa State U., M.A. 1976 (political science)
U. of California, Davis, Ph.D. 1985 (political science)",,,1,1,1,Iowa,0,1,0,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jerry McNerney, D-Calif.","U.S. Military Academy, attended 1969-71
U. of New Mexico, B.S. 1973 (mathematics)
U. of New Mexico, M.S. 1975 (mathematics)
U. of New Mexico, Ph.D. 1981 (mathematics)",,,1,1,1,Calif.,0,1,0,1,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rob Wittman, R-Va.","Virginia Polytechnic Institute and State U., B.S. 1981 (biology)
U. of North Carolina, M.P.H. 1990 (health policy and administration)
Virginia Commonwealth U., Ph.D. 2002 (public policy and administration)",,,1,1,1,Va.,0,1,0,1,0,0,0,0,1,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tom Cole, R-Okla.","Grinnell College, B.A. 1971 (history)
Yale U., M.A. 1974 (British history)
U. of Oklahoma, Ph.D. 1984 (19th Century British history)",,,1,1,1,Okla.,1,0,0,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Judy Chu, D-Calif.","U. of California, Santa Barbara, attended 1970-73
U. of California, Los Angeles, B.A. 1974 (mathematics)
California School of Professional Psychology, Los Angeles, Ph.D. 1979 (clinical psychology)",,,1,1,1,Calif.,1,0,0,1,0,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Danny K. Davis, D-Ill.","Arkansas AM&N College, B.A. 1961 (history & education)
Chicago State U., M.A. 1968 (guidance)
Union Institute, Ph.D. 1977 (public administration)",,,1,1,1,Ill.,1,0,0,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bill Foster, D-Ill.","U. of Wisconsin, B.A. 1976 (physics)
Harvard U., Ph.D. 1983 (experimental physics)",,,1,1,1,Ill.,1,0,0,1,0,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
