Name,Bio,Identifier,BA,BS,JD,PhD,MBA,MA ,MS,MPA/MPP/MPH,MD,Other Masters
Ron Wright,Texas,89,0,0,0,0,0,0,0,0,0,0
Ross Spano,Florida,90,1,0,1,0,0,0,0,0,0,0
Sharice Davids,Kansas,91,1,0,1,0,0,0,0,0,0,0
Steven Horsford,Nevada,92,1,0,0,0,0,0,0,0,0,0
Susan Wild,Pennsylvania,93,1,0,1,0,0,0,0,0,0,0
Sylvia Garcia,Texas,94,1,0,1,0,0,0,0,0,0,0
Tim Burchett,Tennessee,95,0,1,0,0,0,0,0,0,0,0
Troy Balderson,Ohio,96,0,0,0,0,0,0,0,0,0,0
Pete Stauber,Minnesota,97,1,0,0,0,0,0,0,0,0,0
Andy Kim,New Jersey,98,1,0,0,1,0,0,0,0,0,1
Jahana Hayes,Connecticut,99,1,0,0,0,0,1,0,0,0,1
Xochitl Torres Small,New Mexico,100,1,0,1,0,0,0,0,0,0,0
