Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.
"ABRAHAM, Ralph","['a Representative from Louisiana; born in Alto, Richland Parish, La., \r', 'September 16, 1954; graduated from Mangham High School, Mangham, La., 1972; \r', 'B.A., Louisiana State University, Baton Rouge, La., 1980; D.V.M., Louisiana \r', 'State University School of Veterinary Medicine, Baton Rouge, La., 1980; M.D., \r', 'Louisiana State University School of Medicine, New Orleans, La., 1994; \r', 'Mississippi National Guard Special Forces, 1986-1989; flight instructor; \r', 'general family practitioner; aviation medical examiner; elected as a Republican \r', 'to the One Hundred Fourteenth and to the succeeding Congress (January 3, \r', '2015-present).\r']",A000374,1,0,0,0,0,0,0,0,1,0
"ADAMS, Alma","['a Representative from North Carolina; born in High Point, Guilford \r', 'County, N.C., May 27, 1946; graduated from West Side High School, Newark, N.J., \r', '1964; B.S., North Carolina Agricultural and Technical State University, \r', 'Greensboro, N.C., 1968; M.S., North Carolina Agricultural and Technical State \r', 'University, Greensboro, N.C., 1972; Ph.D., Ohio State University, Columbus, \r', 'Ohio, 1981; artist; faculty, Bennett College, Greensboro, N.C., 1972-2012; \r', 'member of the Greensboro, N.C., school board, 1984-1986; member of the \r', 'Greensboro, N.C., city council, 1987-1994; member of the North Carolina state \r', 'house of representatives, 1994-2014; elected simultaneously as a Democrat to \r', 'the One Hundred Thirteenth and One Hundred Fourteenth Congresses, by special \r', 'election, to fill the vacancy caused by the resignation of United States \r', 'Representative Melvin L. Watt, and reelected to the succeeding Congress \r', '(November 4, 2014-present).\r']",A000370,0,1,0,1,0,0,1,0,0,0
"ADERHOLT, Robert","['a Representative from Alabama; born in Haleyville, Winston County, \r', 'Ala., July 22, 1965; B.A., Birmingham Southern College, Birmingham, Ala., 1987; \r', 'J.D., Samford University, Birmingham, Ala., 1990; lawyer, private practice; \r', 'Haleyville, Ala., municipal judge, 1992-1995; staff, Alabama Governor Fob \r', 'James, 1995-1996; elected as a Republican to the One Hundred Fifth and to the \r', 'ten succeeding Congresses (January 3, 1997-present).\r']",A000055,1,0,1,0,0,0,0,0,0,0
"AGUILAR, Peter Rey","['a Representative from California; born in Fontana, San Bernardino \r', 'County, Calif., June 19, 1979; graduated from Yucaipa High School, Yucaipa, \r', 'Calif., 1997; B.S., University of Redlands, Redlands, Calif., 2001; business \r', 'owner; executive, community credit union; interim director and deputy director, \r', 'Inland Empire regional office of the Governor of California, 2001; member of \r', 'the Redlands, Calif., city council, 2006-2014; Mayor of Redlands, Calif., \r', '2010-2014; elected as a Democrat to the One Hundred Fourteenth and to the \r', 'succeeding Congress (January 3, 2015-present).\r']",A000371,0,1,0,0,0,0,0,0,0,0
"ALLEN, Rick W.","['a Representative from Georgia; born in Augusta, Richmond County, \r', 'Ga., November 7, 1951; graduated from Evans High School, Evans, Ga., 1969; \r', 'B.S., Auburn University, Auburn, Ala., 1973; business owner; elected as a \r', 'Republican to the One Hundred Fourteenth and to the succeeding Congress \r', '(January 3, 2015-present).\r']",A000372,0,1,0,0,0,0,0,0,0,0
"AMASH, Justin","['a Representative from Michigan; born in Grand Rapids, Kent County, \r', 'Mich., April 18, 1980; graduated from Grand Rapids Christian High School, Grand \r', 'Rapids, Mich., 1998; A.B., University of Michigan, Ann Arbor, Mich., 2002; \r', 'J.D., University of Michigan, Ann Arbor, Mich., 2005; lawyer, private practice; \r', 'member of the Michigan state house of representatives, 2008-2010; elected as a \r', 'Republican to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present).\r']",A000367,1,0,1,0,0,0,0,0,0,0
"AMODEI, Mark E.","['a Representative from Nevada; born in Carson City, Carson City \r', 'County, Nev., June 12, 1958; graduated from Carson High School, Carson City, \r', 'Nev., 1976; B.A., University of Nevada, Reno, Nev., 1980; J.D., University of \r', 'the Pacific, McGeorge School of Law, Sacramento, Calif., 1983; Judge Advocate \r', 'General&#146;s Corps, United States Army, 1984-1987; lawyer, private practice; \r', 'member of the Nevada state assembly, 1997; member of the Nevada state senate, \r', '1999-2011, president pro tempore, 2003-2005; elected as a Republican to the One \r', 'Hundred Twelfth Congress, by special election, to fill the vacancy caused by \r', 'the resignation of United States Representative Dean Heller, and reelected to \r', 'the three succeeding Congresses (September 13, 2011-present).\r']",A000369,1,0,1,0,0,0,0,0,0,0
"ASHFORD, John Bradley","['a Representative from Nebraska; born in Omaha, Douglas County, \r', 'Nebr., November 10, 1949; graduated from Westside High School, Omaha, Nebr., \r', '1967; B.A., Colgate University, Hamilton, N.Y., 1971; J.D., Creighton \r', 'University, Omaha, Nebr., 1974; staff, United States Senator Roman Hruska of \r', 'Nebraska; lawyer, private practice; business executive; attorney, Federal \r', 'Highway Administration, 1974-1975; hearing examiner, Nebr. department of \r', 'education, 1983-1984; judge, Nebr. court of industrial relations, 1984-1986; \r', 'member of the Nebraska state legislature, 1987-1994; chief executive officer, \r', 'Omaha, Nebr., housing authority, 1998-2003; member of the Nebraska state \r', 'legislature, 2006-2014; elected as a Democrat to the One Hundred Fourteenth \r', 'Congress (January 3, 2015-January 3, 2017); unsuccessful candidate for \r', 'reelection to the One Hundred Fifteenth Congress in 2016.\r']",A000373,1,0,1,0,0,0,0,0,0,0
"BABIN, Brian","['a Representative from Texas; born in Port Arthur, Jefferson County, \r', 'Tex., March 23, 1948; graduated from Forest Park High School, Beaumont, Tex., \r', '1966; B.S., Lamar University, Beaumont, Tex., 1973; D.D.S., University of \r', 'Texas, Houston, Tex., 1976; United States Air Force, 1975-1979; Texas Army \r', 'National Guard, 1969-1975; dentist; alderman, Woodville, Tex., 1981-1982, \r', '1984-1989; mayor of Woodville, Tex., 1982-1984; member, Texas Historical \r', 'Commission, 1989-1995; member of the Woodville, Tex., school board, 1992-1995; \r', 'unsuccessful candidate for nomination to the United States House of \r', 'Representatives in 1996 and 1998; member, Lower Neches Valley Authority, \r', '1999-2014; elected as a Republican to the One Hundred Fourteenth and to the \r', 'succeeding Congress (January 3, 2015-present).\r']",B001291,0,1,0,0,0,0,0,0,0,0
"BARLETTA, Lou","[' a Representative from Pennsylvania; born in Hazleton, Luzerne \r', 'County, Pa., January 28, 1956; graduated from Hazleton High School, Hazleton, \r', 'Pa., 1974; attended Bloomsburg University, Bloomsburg, Pa.; professional \r', 'athlete; business owner; member of the Hazleton, Pa., city council, 1998-2000; \r', 'Mayor of Hazleton, Pa., 2000-2010; elected as a Republican to the One Hundred \r', 'Twelfth and to the three succeeding Congresses (January 3, \r', '2011-present).\r']",B001269,0,0,0,0,0,0,0,0,0,0
"BARR, Garland H. (Andy) IV","['a Representative from Kentucky; born in Lexington, Fayette County, \r', 'Ky., July 24, 1973; graduated from Henry Clay High School, Lexington, Ky., \r', '1992; B.A., University of Virginia, Charlottesville ,Va., 1996; J.D., \r', 'University of Kentucky, Lexington, Ky., 2001; lawyer, private practice; staff, \r', 'United States Representative Jim Talent, 1996-1998; instructor, Morehead State \r', 'University, Morehead, Ky.; unsuccessful candidate for election to the One \r', 'Hundred Twelfth Congress in 2010; elected as a Republican to the One Hundred \r', 'Thirteenth and to the two succeeding Congresses (January 3, \r', '2013-present).\r']",B001282,1,0,1,0,0,0,0,0,0,0
"BARTON, Joe Linus","['a Representative from Texas; born in Waco, McLennan County, Tex., \r', 'September 15, 1949; graduated from Waco High School, Waco, Tex., 1968; B.A., \r', 'Texas A&amp;M University, College Station, Tex., 1972; M.S., Purdue University, \r', 'West Lafayette, Ind., 1973; business executive; White House Fellowship, served \r', 'as aide to Secretary of Energy James B. Edwards, 1981-1982; elected as a \r', 'Republican to the Ninety-ninth and to the sixteen succeeding Congresses \r', '(January 3, 1985-present); chair, Committee on Energy and Commerce (One Hundred \r', 'Eighth and One Hundred Ninth Congresses).\r']",B000213,1,0,0,0,0,0,1,0,0,0
"BASS, Karen","['a Representative from California; born in Los Angeles, Los Angeles \r', 'County, California, October 3, 1953; graduated from Hamilton High School, Los \r', 'Angeles, Calif.; B.S., California State University, Dominguez Hills, Calif., \r', '1990; P.A., University of Southern California, Los Angeles, Calif.; physician&#146;s \r', 'assistant; faculty, University of Southern California, Los Angeles, Calif.; \r', 'member of the California state assembly, 2005-2010, speaker, 2008-2010; elected \r', 'as a Democrat to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present).\r']",B001270,0,1,0,0,0,0,0,0,0,0
"BEATTY, Joyce","['a Representative from Ohio; born in Dayton, Montgomery County, Ohio, \r', 'March 12, 1950; graduated from Nettie Lee Roth High School, Dayton, Ohio; B.A., \r', 'Central State University, Wilberforce, Ohio, 1972; M.S., Wright State \r', 'University, Fairborn, Ohio, 1974; attended University of Cincinnati, \r', 'Cincinnati, Ohio; Montgomery County, Ohio, executive director, human services; \r', 'professor, Sinclair Community College, Dayton, Ohio, 1975-1983; businesswoman; \r', 'member of the Ohio state house of representatives, 1999-2008; delegate to the \r', 'Democratic National Convention, 1996, 2000, 2004, 2008, 2012; administrator, \r', 'The Ohio State University, Columbus, Ohio, 2008-2012; elected as a Democrat to \r', 'the One Hundred Thirteenth and to the two succeeding Congresses (January 3, \r', '2013-present).\r']",B001281,1,0,0,0,0,0,1,0,0,0
"BECERRA, Xavier","['a Representative from California; born in Sacramento, Sacramento \r', 'County, Calif., January 26, 1958; B.A., Stanford University, Stanford, Calif., \r', '1980; J.D., Stanford University, Stanford., Calif., 1984; lawyer, private \r', 'practice; staff, California state senator Art Torres, 1986; deputy attorney \r', 'general, Office of the Attorney General, State of California, 1987-1990; member \r', 'of the California state assembly, 1990-1992; elected as a Democrat to the One \r', 'Hundred Third and to the twelve succeeding Congresses until his resignation on \r', 'January 24, 2017 (January 3, 1993-January 24, 2017); chair, House Democratic \r', 'Caucus (One Hundred Thirteenth and One Hundred Fourteenth Congresses); attorney \r', 'general of California, 2017-present.\r']",B000287,1,0,1,0,0,0,0,0,0,0
"BENISHEK, Dan","['a Representative from Michigan; born in Iron River, Iron County, \r', 'Mich., April 20, 1952; graduated from West Iron County High School, Iron River, \r', 'Mich., 1970; B.S., University of Michigan, Ann Arbor, Mich., 1974; M.D., Wayne \r', 'State University Medical School, Detroit, Mich., 1978; physician; elected as a \r', 'Republican to the One Hundred Twelfth and to the two succeeding Congresses \r', '(January 3, 2011-January 3, 2017); was not a candidate for reelection to the \r', 'One Hundred Fifteenth Congress in 2016.\r']",B001271,0,1,0,0,0,0,0,0,1,0
"BERA, Ami","['a Representative from California; born in Los Angeles, Los Angeles \r', 'County, Calif., March 2, 1965; B.S., University of California, Irvine, Calif., \r', '1987; M.D., University of California, Irvine, Calif., 1991; physician; \r', 'professor; associate dean, University of California-Irvine School of Medicine, \r', 'Irvine, Calif., 2004-2007; Sacramento County, Calif. chief medical officer, \r', '1999-2004; unsuccessful candidate for election to the One Hundred Twelfth \r', 'Congress in 2010; elected as a Democrat to the One Hundred Thirteenth and to \r', 'the two succeeding Congresses (January 3, 2013-present).\r']",B001287,0,1,0,0,0,0,0,0,1,0
"BEYER, Donald Sternoff Jr.","['a Representative from Virginia; born in Trieste, Italy, June 20, \r', '1950; graduated from Gonzaga College High School, Washington, D.C., 1968; B.A., \r', 'Williams College, Williamstown, Mass., 1972; automobile dealer; lieutenant \r', 'governor of Virginia, 1990-1998; unsuccessful candidate for Governor of \r', 'Virginia in 1997; United States Ambassador to Switzerland and Liechtenstein, \r', '2009-2013; elected as a Democrat to the One Hundred Fourteenth and to the \r', 'succeeding Congress (January 3, 2015-present).\r']",B001292,1,0,0,0,0,0,0,0,0,0
"BILIRAKIS, Gus","[' (son of Michael Bilirakis), \r', 'a Representative from Florida; born in Gainesville, Alachua County, \r', 'Fla., February 8, 1963; attended St. Petersburg Junior College, St. Petersburg, \r', 'Fla., 1981-1983; B.A., University of Florida, Gainesville, Fla., 1986; J.D., \r', 'Stetson University, St. Petersburg, Fla., 1989; lawyer, private practice; \r', 'professor; member of the Florida state house of representatives, 1998-2006; \r', 'elected as a Republican to the One Hundred Tenth and to the five succeeding \r', 'Congresses (January 3, 2007-present).\r']",B001257,1,0,1,0,0,0,0,0,0,0
